description,dream_series_id,n_dreams,series,sex,year
"Most of the dreams in this remarkable series were written down on his own initiative while ""Norman"" was a patient in various prison hospitals.  On some nights he reported two or three dreams.  Many of the reports are very brief, but the dreams are very revealing nonetheless.  The dreams were analyzed by Calvin S. Hall for a book by Alan P, Bell and Calvin S. Hall, The Personality of a Child Molester (1971).  For a summary of Hall's analysis, showing how well Norman's dreams reflect his life, not to mention his sexual preoccupations, see Chapter 8 of Domhoff's Finding Meaning In Dreams.",norman,1235,Norman: a child molester,male,1963-1967
"Phil is a retired humanities professor with no professional or theoretical interest in dreams. He has provided us with dreams from three periods of his life, stretching from age 15 to age 62. We have no other dream series that covers such a long time span starting from such a young age. The dreams have never been studied. No biographical information is available on Phil, and he is not available to provide answers to questions, but it is still a great series.  (For further information about Phil and his dream series, click here.)",phil1,106,Phil 1: teens,male,1957-1959
"Madeline is a young woman in her 20s who gave us her dreams a year or two after she graduated from college. Her series is unique in that it stretches from childhood to early adulthood with only occasional interruptions. This series was studied by members of a college class, who then asked her to answer a series of questions, many of them concerning the class focus on religion and spirituality. Those questions and her answers can be found in Madeline's ""Further Info"" file.",madeline3-offcampus,348,Madeline 3: Off-Campus,female,2001-2003
"""Merri Anderson"" is an artist in her late 30s who began writing her dreams down in 1999, sometimes using them as a basis for some of her paintings. However, another main impetus for starting a dream journal was the appearance in her dreams of her sister, older by nearly two years, who had been killed in January, 1996.  (She died on life support with Merri and their brother Rudy -- younger than Merri by four years -- at her side.) This sister, Dora, a well-educated, successful professional greatly admired by Merri, is the most frequent character in her dreams.  The series is notable for how revealing it is concerning her conceptions and concerns in relation to her family members and friends. The concern with color and art work of various kinds is also striking.  (For further information on Merri's series, including a cast of characters, click here.)",merri,315,Merri: an artist,female,1999-2000
"These dreams were collected from 48 male and 48 female college students (ages 18 to 20) in Lima, Peru, in 1970 by Susana Urbina as part of her work toward a Ph.D. in psychology from Fordham University in 1972. Each student turned in eight dream reports over a period of two weeks to three months.  Urbina, now a professor of psychology at the University of Northern Florida, translated the dreams into English. The findings from her work can be found in the following article: Urbina, S. P., & Grey, A. (1975). Cultural and Sex Differences in the Sex Distribution of Dream Characters. Journal of Cross-Cultural Psychology, 6, 358-364.",peru-m,384,Peruvian men,male,1970
"Nancy is a bright, attractive, white working-class woman in her late 20s who has two young daughters and wants to go to a professional school in a health-related field after she finishes her undergraduate work.  Her dreams seem to be a dramatization of all her interests and interpersonal relations, as she confirms in her own analysis of the dreams.  She has a fact-oriented, no-nonsense mind.  She prefers scientific courses to humanistic ones.  There is nothing subtle about her dreams, and they do not seem as metaphoric as some of the other college dream series.  (For more about Nancy, click here.)",nancy,44,Nancy: Caring & headstrong,female,1997
"This dream series consists of 4,352 dream reports, written down from ages 12 to 25, by a young woman out of her own interest in dreams, and with no interest in dream theories or psychotherapy. The series is unique for the early age at which it begins and the frequency of reports in the teen years (ages 13-19).It may be interesting to compare the Izzy series with the dream series that was tape-recorded by ""Jasmine"" from her early teens to her mid-20s, and with the dream reports written down by ""Bea"" at ages 14 and 15.(For more information about Izzy and her dream series, including the ""cast of characters"" in her dreams, click here.)",izzy17,741,"Izzy,  age 17",female,2008-2009
"This dream series consists of 4,352 dream reports, written down from ages 12 to 25, by a young woman out of her own interest in dreams, and with no interest in dream theories or psychotherapy. The series is unique for the early age at which it begins and the frequency of reports in the teen years (ages 13-19).It may be interesting to compare the Izzy series with the dream series that was tape-recorded by ""Jasmine"" from her early teens to her mid-20s, and with the dream reports written down by ""Bea"" at ages 14 and 15.(For more information about Izzy and her dream series, including the ""cast of characters"" in her dreams, click here.)",izzy12,52,"Izzy,  age 12",female,2003-2004
"1138 more dreams from Barb Sanders, written down in 1997 through 2001. These dreams are not included with the first set because they were written down by the dreamer after she was aware that her dreams were being studied.  It is not likely that they changed, but it is better to analyze the first set separately for scientific purposes, just to be sure.(Read the info about the first Sanders series for details about her life.)",b2,1138,Barb Sanders #2,female,1997-2001
"This dream series consists of 4,352 dream reports, written down from ages 12 to 25, by a young woman out of her own interest in dreams, and with no interest in dream theories or psychotherapy. The series is unique for the early age at which it begins and the frequency of reports in the teen years (ages 13-19).It may be interesting to compare the Izzy series with the dream series that was tape-recorded by ""Jasmine"" from her early teens to her mid-20s, and with the dream reports written down by ""Bea"" at ages 14 and 15.(For more information about Izzy and her dream series, including the ""cast of characters"" in her dreams, click here.)",izzy14,249,"Izzy,  age 14",female,2005-2006
"Arlie is an older adult woman who wrote down her dreams in the 1990s. She gave them to us in 1998.This series has never been studied, except by the dreamer.",arlie,212,Arlie: a middle-aged woman,female,1992-1998
